,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description,Hotel Name
355,Denpasar,ID,2019-10-22 06:24:01,-8.65,115.22,86.0,74,20,4.7,0.0,0.0,few clouds,Aston Denpasar Hotel & Convention Center
358,Laguna,BZ,2019-10-22 06:27:14,16.17,-88.94,78.8,83,40,4.7,0.0,0.0,scattered clouds,Laguna Maya Lodge
361,Calituban,PH,2019-10-22 06:27:15,10.24,124.29,89.6,59,40,10.29,0.0,0.0,scattered clouds,Mahaba Island Beach Resort
377,Bathsheba,BB,2019-10-22 06:23:23,13.22,-59.52,78.8,78,20,11.41,0.0,0.0,few clouds,Atlantis Hotel
382,Meulaboh,ID,2019-10-22 06:27:22,4.14,96.13,81.97,75,89,7.54,0.0,0.0,overcast clouds,Kost Pria
390,Kampong Chhnang,KH,2019-10-22 06:27:25,12.25,104.67,88.16,55,2,6.06,0.0,0.0,clear sky,Raksmey Sokha New York Hotel
398,Shenzhen,CN,2019-10-22 06:27:27,22.54,114.05,86.0,51,20,6.71,0.0,0.0,few clouds,East Pacific Center
399,Broken Hill,AU,2019-10-22 06:24:04,-31.97,141.45,84.2,13,87,9.17,0.0,0.0,overcast clouds,Royal Exchange Hotel
405,Masuda,JP,2019-10-22 06:27:29,34.68,131.85,75.2,73,75,5.82,0.0,0.0,broken clouds,Masuda Green Hotel Morris
408,Mungwi,ZM,2019-10-22 06:27:30,-10.17,31.37,78.46,49,17,5.77,0.0,0.0,few clouds,
413,Bambanglipuro,ID,2019-10-22 06:27:32,-7.95,110.28,88.21,48,0,16.84,0.0,0.0,clear sky,The Progo Paradise
414,Boa Vista,BR,2019-10-22 06:27:32,2.82,-60.67,78.8,83,40,5.82,0.0,0.0,scattered clouds,Aipana Plaza Hotel
415,Siavonga,ZW,2019-10-22 06:27:32,-16.54,28.71,85.57,34,51,11.01,0.0,0.0,broken clouds,Lavongora Waterfront Lodge
420,Mount Gambier,AU,2019-10-22 06:27:34,-37.83,140.78,77.0,44,0,9.17,0.0,0.0,clear sky,Best Western Southgate Motel
422,Adre,TD,2019-10-22 06:27:34,13.47,22.2,79.9,38,48,3.38,0.0,0.0,scattered clouds,
426,Ewa Beach,US,2019-10-22 06:27:36,21.32,-158.01,82.4,88,75,6.93,0.0,0.0,broken clouds,Parkside By Gentry
431,Auki,NG,2019-10-22 06:27:38,12.18,6.51,76.35,72,51,3.91,0.0,0.0,broken clouds,
433,Manavalakurichi,IN,2019-10-22 06:27:38,8.13,77.3,87.8,66,75,4.7,0.0,0.0,broken clouds,Udaya Boys Hostel
434,Upata,VE,2019-10-22 06:27:38,8.02,-62.41,75.99,86,31,3.0,0.0,0.0,scattered clouds,Posada Villa Nela
438,Nieuw Amsterdam,SR,2019-10-22 06:27:39,5.88,-55.08,77.0,94,72,1.12,0.0,0.0,broken clouds,Hotel Stardust
440,Filingue,NE,2019-10-22 06:27:40,14.35,3.32,84.96,48,20,6.64,0.0,0.0,few clouds,
443,Griffith,AU,2019-10-22 06:27:41,-34.29,146.06,87.8,17,0,6.93,0.0,0.0,clear sky,Econo Lodge Griffith Motor Inn
455,Taoudenni,ML,2019-10-22 06:27:45,22.68,-3.98,84.13,22,0,7.76,0.0,0.0,clear sky,
456,Mankachar,IN,2019-10-22 06:27:45,25.53,89.87,84.38,52,0,4.54,0.0,0.0,clear sky,Asha Hotel Petrol Pum
459,Cayenne,GF,2019-10-22 06:25:00,4.94,-52.33,75.2,94,40,3.67,0.0,0.0,scattered clouds,Hôtel Le Dronmi
460,Isoka,ZM,2019-10-22 06:27:46,-10.15,32.64,78.62,50,8,5.99,0.0,0.0,clear sky,PROSPER LODGE
464,Keti Bandar,PK,2019-10-22 06:27:47,24.14,67.45,89.65,36,100,5.46,0.0,0.0,overcast clouds,Haji laloo memon house
466,Tenenkou,ML,2019-10-22 06:27:48,14.46,-4.91,80.51,64,72,5.61,0.0,0.0,broken clouds,
467,Prachuap Khiri Khan,TH,2019-10-22 06:27:48,11.81,99.79,84.42,70,54,8.68,0.0,0.0,broken clouds,HadThong Hotel
470,Grand Baie,MU,2019-10-22 06:27:50,-20.02,57.58,80.6,69,75,18.34,0.0,0.0,broken clouds,Trou aux Biches Beachcomber Golf Resort & Spa
471,Bandarbeyla,SO,2019-10-22 06:27:50,9.49,50.81,81.21,74,0,8.93,0.0,0.0,clear sky,REER XOOSHLE GROUP
472,Vila Velha,BR,2019-10-22 06:23:57,-3.71,-38.6,78.8,78,40,5.82,0.0,0.0,scattered clouds,Hotel Iparana Paradise
477,Saint-Leu,RE,2019-10-22 06:27:52,-21.15,55.28,80.6,74,42,5.82,0.0,0.0,scattered clouds,La Caz Oceane
481,Charters Towers,AU,2019-10-22 06:22:56,-20.07,146.27,87.42,26,0,17.09,0.0,0.0,clear sky,Cattleman's Rest Motor Inn
487,Miyako,JP,2019-10-22 06:27:55,33.63,130.94,79.0,57,20,2.24,0.0,0.0,few clouds,源じいの森・ほたる館
489,Cabimas,VE,2019-10-22 06:27:56,10.39,-71.44,80.37,79,100,12.66,0.0,0.0,overcast clouds,Hotel D'Maio
496,Panaba,MX,2019-10-22 06:27:58,21.28,-88.27,77.34,93,20,6.51,0.0,0.0,few clouds,Hotel Don Fernando
500,Amapa,HN,2019-10-22 06:27:59,15.09,-87.97,75.99,94,20,6.93,0.0,0.0,few clouds,Incubadora GAHSA
502,Qesarya,IL,2019-10-22 06:27:59,32.52,34.9,75.0,68,15,3.36,0.0,0.0,few clouds,Dan Caesarea Resort - Happiness is Around
503,Makakilo City,US,2019-10-22 06:23:57,21.35,-158.09,82.4,88,75,6.93,0.0,0.0,broken clouds,Marriott's Ko Olina Beach Club
505,Buraydah,SA,2019-10-22 06:24:36,26.33,43.97,75.2,44,100,2.24,0.0,0.0,overcast clouds,Mövenpick Hotel Qassim
506,Byron Bay,AU,2019-10-22 06:28:00,-28.65,153.62,75.2,64,46,10.29,0.0,0.0,scattered clouds,Backpackers Inn on the Beach
507,Port-Gentil,GA,2019-10-22 06:24:01,-0.72,8.78,78.8,88,40,4.7,0.0,0.0,scattered clouds,Fengshui Residence
511,Mogadishu,SO,2019-10-22 06:28:02,2.04,45.34,82.4,69,40,5.82,0.0,0.0,scattered clouds,Olympic Hotel
512,Mecca,SA,2019-10-22 06:24:18,21.43,39.83,83.19,59,0,4.45,0.0,0.0,clear sky,Hotel Fairmont Makkah Clock Royal Tower
520,Itarema,BR,2019-10-22 06:23:52,-2.92,-39.92,77.22,73,73,7.16,0.0,0.0,broken clouds,Windvillage
525,Mvomero,TZ,2019-10-22 06:28:06,-6.3,37.45,75.2,78,20,2.93,0.0,0.0,few clouds,
529,Khartoum,SD,2019-10-22 06:28:07,15.59,32.54,89.6,35,0,9.17,0.0,0.0,clear sky,Khartoum Plaza Hotel
535,Muncar,ID,2019-10-22 06:28:09,-8.43,114.34,78.19,81,76,15.57,0.0,0.0,broken clouds,Zaky Homestay
542,Muroto,JP,2019-10-22 06:28:11,33.37,134.14,78.8,44,40,13.87,0.0,0.0,scattered clouds,
544,Fukue,JP,2019-10-22 06:28:12,35.03,136.69,75.2,57,20,6.93,0.0,0.0,few clouds,ホテル ファインガーデン 桑名長島店
545,Kutum,SD,2019-10-22 06:28:12,14.2,24.66,78.66,44,14,6.13,0.0,0.0,few clouds,
547,Chadiza,ZM,2019-10-22 06:28:13,-14.06,32.43,83.5,42,6,6.87,0.0,0.0,clear sky,Mweebe Executive Lodge
548,Oeiras Do Para,BR,2019-10-22 06:28:13,-2.0,-49.85,75.43,84,0,3.94,0.0,0.0,clear sky,Araticu Soft Hotel
551,Yen Bai,VN,2019-10-22 06:28:14,21.7,104.87,85.51,61,74,3.36,0.0,0.0,broken clouds,AK MOTEL
554,Vaitape,PF,2019-10-22 06:28:15,-16.52,-151.75,81.18,69,0,5.35,0.0,0.0,clear sky,Conrad Bora Bora Nui
558,Norsup,VU,2019-10-22 06:28:16,-16.07,167.38,82.4,74,75,8.05,0.0,0.0,broken clouds,Nabelchel Bungalows
561,Moyale,ET,2019-10-22 06:28:17,3.52,39.05,76.33,72,86,11.56,0.0,0.0,overcast clouds,Machi Guesthouse
